cycles,value,time
400,52.7329,9.0671
400,54.6194,9.0707
400,52.361,9.1357
400,53.9586,10.5077
400,53.0254,8.3752
400,51.7351,7.6883
400,54.4394,9.6291
400,51.9424,8.8317
400,56.2493,9.2348
400,52.5441,9.8855
400,52.6789,8.1418
400,54.7604,8.1893
400,51.8524,8.9841
400,53.583,8.5265
400,53.4082,10.3427
400,54.0363,9.0001
400,52.339,8.1553
400,53.1389,8.766
400,52.4593,10.6739
400,55.3483,8.9178
400,51.0653,9.6282
400,52.3579,8.1962
400,52.2238,9.5271
400,53.1285,8.8977
400,50.5667,8.3799
400,53.208,8.8101
400,52.199,8.5657
400,58.9676,8.1442
400,49.5983,9.3258
400,54.4759,9.6933
400,53.0264,9.3744
400,55.2243,8.8542
400,53.8723,9.262
400,55.8663,8.6156
400,52.7191,9.261
400,53.7386,8.4082
400,51.8768,9.4245
400,56.2425,9.61
400,53.1642,8.2351
400,51.9572,9.4046
400,53.2698,8.5794
400,50.8005,8.7976
400,55.6663,9.1715
400,52.0457,9.0612
400,51.1096,8.3928
400,52.3752,9.819
400,53.1096,8.8996
400,52.4586,8.7374
400,52.7021,10.0088
400,50.7516,9.5706
400,52.1967,9.255
400,51.1607,9.8593
400,52.4707,7.8412
400,49.7205,9.6928
400,52.8373,8.0792
400,54.934,8.5294
400,53.4065,8.7497
400,52.3059,7.9669
400,54.8388,9.5413
400,52.1905,9.2158
400,53.212,9.1423
400,53.488,7.9039
400,52.1152,8.6152
400,52.8293,9.2519
400,53.6625,8.7061
400,54.0949,7.8909
400,57.8257,8.9243
400,54.5074,8.3715
400,53.4753,8.8384
400,52.6083,8.2013
400,52.6318,8.232
400,53.0566,8.7248
400,52.8003,8.9616
400,53.3346,8.6199
400,51.0685,8.8697
400,53.4162,10.13
400,53.296,9.315
400,52.9156,8.3279
400,51.1979,8.1126
400,50.6399,7.5068
400,52.6102,8.9781
400,50.2152,9.5371
400,50.5759,8.1587
400,56.3306,8.1823
400,52.6637,8.5546
400,52.3686,9.538
400,53.3042,9.4061
400,52.42,8.7689
400,52.8969,8.8836
400,53.2558,9.0947
400,52.3794,9.0959
400,52.2721,9.8722
400,49.9018,8.4912
400,51.1286,9.7043
400,51.0346,7.8601
400,49.1662,7.6256
400,52.6349,9.6371
400,51.4821,10.1212
400,54.0521,9.4699
400,51.506,9.2869
400,51.0873,9.5236
400,53.7433,8.9273
400,53.5391,7.8201
400,49.8521,7.8041
400,51.6557,8.5444
400,51.2164,8.6024
400,48.4884,7.661
400,53.0224,8.9065
400,52.3876,10.2008
400,52.6973,9.2236
400,52.5143,9.7343
400,51.896,8.2364
400,50.206,7.9684
400,53.0426,8.4901
400,54.0376,9.7527
400,51.8467,8.6434
400,52.1026,8.7042
