cycles,value,time
400,63.8444,15.3048
400,56.4061,16.1349
400,56.3522,15.0036
400,58.0758,15.7432
400,57.7773,15.1296
400,61.9859,15.424
400,59.8857,14.7519
400,59.2454,15.022
400,58.408,15.0192
400,59.3887,15.6652
400,58.1067,15.4614
400,58.9292,15.4739
400,56.0055,14.8005
400,57.4686,16.0746
400,58.9768,15.4848
400,59.4047,15.2077
400,62.5381,14.8671
400,62.921,15.0828
400,59.297,14.8005
400,61.5311,15.0046
400,57.6551,15.4291
400,58.6671,15.3145
400,62.3008,15.5235
400,58.6749,15.3042
400,56.9025,15.361
400,56.4946,15.8352
400,59.281,15.5909
400,62.3574,15.3698
400,58.6323,15.2921
400,57.1176,15.1353
400,58.399,15.2694
400,58.4576,15.3902
400,58.7943,15.684
400,56.8567,15.127
400,57.544,14.9716
400,59.1949,15.5034
400,63.2416,15.5494
400,58.7769,15.4314
400,62.0099,15.325
400,62.846,14.557
400,63.3857,15.0733
400,63.6896,15.103
400,58.4641,15.2642
400,56.3575,15.1834
400,58.2406,14.9378
400,57.883,15.0242
400,56.7246,14.7127
400,58.9601,14.9801
400,61.9033,14.9217
400,57.2682,15.1223
400,57.6296,14.9327
400,62.3799,14.4981
400,56.1799,15.6642
400,57.6222,14.997
400,58.8724,15.0772
400,62.2921,14.9072
400,61.1383,15.205
400,57.6061,15.1888
400,57.93,15.3981
400,63.9078,15.6716
400,58.2231,15.6697
400,59.6395,15.7068
400,59.743,14.7945
400,57.1673,15.3253
400,59.297,15.3378
400,58.3549,14.9581
400,58.7189,15.6091
400,63.001,15.2616
400,58.9977,14.7799
400,61.9988,14.9595
400,62.8405,15.7627
400,63.6004,15.4327
400,63.9755,15.8186
400,57.1977,15.293
400,58.3987,15.7712
400,62.0311,14.6676
400,62.7022,14.9668
400,57.2778,15.0979
400,59.9233,15.2231
400,63.0564,15.2229
400,57.9623,15.4835
400,58.8502,15.2486
400,57.1974,15.0097
400,61.0243,15.1045
400,60.935,15.4553
400,63.3697,15.3457
400,62.4311,15.2197
400,63.7964,15.4719
400,63.7895,15.2003
400,57.813,15.6913
400,57.1043,15.0121
400,58.8812,15.289
400,59.3831,15.0413
400,56.5278,14.8738
400,61.1922,15.4491
400,57.7338,15.5641
400,57.9791,15.7376
400,60.011,14.84
400,63.4064,15.1066
400,59.4483,14.9388
400,58.0343,14.9953
400,57.4281,15.4687
400,59.1911,15.5625
400,56.9655,15.7548
400,62.6666,14.8389
400,62.3467,14.8445
400,58.7987,15.0178
400,58.9734,15.219
400,63.0856,15.8308
400,58.7609,15.6883
400,58.3286,15.6853
400,63.358,14.9633
400,64.2097,14.8633
400,56.3818,15.2788
400,61.7793,14.7355
400,63.2395,15.3123
400,63.5185,15.0563
400,61.5835,16.1952
400,60.368,15.7551
400,63.3441,16.0786
400,58.1897,16.2928
400,58.4911,15.6374
400,62.2957,15.596
400,57.3321,14.4772
400,58.0063,15.7501
400,58.2297,15.3692
400,58.463,14.952
400,58.1046,14.9002
400,62.2409,15.8397
400,63.3441,15.6368
400,57.6043,15.4193
400,55.3655,15.7987
400,56.9142,14.7526
400,57.1925,15.5033
